store_Id,user_id,name,vicinity,Features
274,1235,VA Medical Center-West Haven: Trevisan Louis A MD,"950 Campbell Avenue, West Haven","book_store,cafe,store,point_of_interest,food,establishment"
2137,1436,"Dr. Craig S. Zalis, MD","950 Campbell Avenue, West Haven","book_store,clothing_store,store,point_of_interest,establishment"
1107,1319,Roman Sanziana A MD,"950 Campbell Avenue, West Haven","book_store,library,point_of_interest,store,establishment"
1990,1446,New Haven,New Haven,"book_store,point_of_interest,clothing_store,store,establishment"
319,1224,Courtyard by Marriott New Haven at Yale,"30 Whalley Avenue, New Haven","book_store,library,point_of_interest,store,establishment"
1119,1024,New Haven Hotel,"229 George Street, New Haven","book_store,point_of_interest,clothing_store,store,establishment"
2138,1441,Yale University,New Haven,"book_store,cafe,point_of_interest,store,food,establishment"
1335,1389,Frank Pepe Pizzeria Napoletana,"157 Wooster Street, New Haven","book_store,store,point_of_interest,establishment"
2148,1033,Omni New Haven Hotel at Yale,"155 Temple Street, New Haven","bowling_alley,bar,store,restaurant,point_of_interest,food"
747,1049,Louis Lunch,"261 Crown Street, New Haven","cafe,restaurant,point_of_interest,food,store,establishment"
22,1265,Scroll and Key Tomb,"484 College Street, New Haven","cafe,restaurant,food,point_of_interest,establishment"
890,1267,Toads Place,"300 York Street, New Haven","cafe,restaurant,food,point_of_interest,store,establishment"
332,1288,Shubert Theater,"247 College Street, New Haven","cafe,meal_takeaway,bakery,restaurant,store,food"
1251,1097,Yale University Art Gallery,"1111 Chapel Street, New Haven","cafe,meal_takeaway,bakery,restaurant,food,point_of_interest"
587,1439,Apple New Haven,"65 Broadway, New Haven","cafe,bar,restaurant,food,point_of_interest,store"
1357,1240,Yale New Haven Hospital,"20 York Street, New Haven","cafe,restaurant,store,food,point_of_interest,establishment"
75,1334,The Study at Yale,"1157 Chapel Street, New Haven","cafe,store,food,point_of_interest,establishment"
869,1323,James Dwight Dana House,"24 Hillhouse Avenue, New Haven","cafe,meal_takeaway,grocery_or_supermarket,restaurant,food,point_of_interest"
977,1001,Yale New Haven Childrens Hospital,"35 Park Street, New Haven","cafe,restaurant,point_of_interest,food,store,establishment"
2246,1365,Yale Peabody Museum,"170 Whitney Avenue, New Haven","cafe,restaurant,point_of_interest,food,establishment"
1953,1469,Bank of America Financial Center,"157 Church Street, New Haven","cafe,restaurant,point_of_interest,food,establishment"
419,1095,Barcelona Wine Bar,"155 Temple Street, New Haven","cafe,restaurant,store,food,point_of_interest,establishment"
1801,1470,Hamden,Hamden,"cafe,restaurant,store,food,point_of_interest,establishment"
19,1171,Geronimo Tequila Bar and Southwest Grill - New Haven,"271 Crown Street, New Haven","cafe,grocery_or_supermarket,meal_takeaway,store,restaurant,food"
